id,english,russian,italian
1,"Mathematicians won the war. Mathematicians broke the Japanese codes and built the A-bomb. Mathematicians, like you.","Математики выигрывают войны. Математики взламывают японские коды... и строят атомные бомбы. Математики, такие же как вы.","Sono stati i matematici a vincere la guerra. Sono stati i matematici a decifrare i codici giapponesi... e a costruire la bomba atomica. Matematici, come voi."
2,Mathematics... Mathematics is never going to lead you to a higher truth. And you know why? Because it's boring. It's really boring.,Математики-- Математики не научат тебя жить. И знаешь почему? Потому что они скучные.,La matematica... La matematica non ti svelerà mai una verità superiore. E sai perché? Perché è noiosa. Davvero noiosa.
3,"Great deeds come at great cost, Mr. Parcher. Conviction, it turns out, is a luxury of those on the sidelines, Mr. Nash.","Великие дела стоят великих жертв, мистер Парчер. Убеждение является лишь довеском к сделанному делу, мистер Нэш.","Le grandi imprese si pagano care, signor Parcher. Solo chi rimane in disparte può permettersi di condannare, signor Nash."
4,Listen. If we can't break the ice how about we drown it?,"Послушай, раз уж мы не можем найти общий язык. То почему бы нам его не промочить?","Senti. Se non possiamo rompere il ghiaccio, che ne dici di affogarlo con questa?"
5,"The company's broke. No one comes to see her anymore. Uh, nobody actually comes to see ballet, full stop.",Уходя уходи. Кому она теперь нужна? Кому сейчас вообще нужен балет?,"La compagnia e' sciolta. Nessuno viene piu' a vederci. Oh, nessuno viene piu' a vedere il balletto in generale..."
6,"I called the theater, and I told them you weren't feeling well. I have to go.","Я позвонила в театр и сказала, что тебе не здоровится. Я должна идти!",Ho chiamato in teatro e ho detto loro che non ti senti bene. Devo andare!
7,"Anna, go back to sleep. I just can't. The sky is awake, so I'm awake.","Анна, иди спать. Я не могу. Небеса проснулись и я проснулась, поэтому мы должны играть!","Anna, torna a dormire. Non ci riesco. Il cielo è sveglio, perciò sono sveglia."
8,"When I think of my wife, I always think of her head. I picture cracking her lovely skull, unspooling her brains, trying to get answers. The primal questions of any marriage.","Представлять образ своей жены... я всегда начинаю с головы. Я воображаю, как вскрываю её обворожительный череп... и разматываю её извилины... пытаясь выловить ответы. На главные вопросы любого брака.","Quando penso a mia moglie, penso sempre alla sua testa. Immagino di rompere quello splendido cranio per srotolarle il cervello e ottenere delle risposte. Alle domande fondamentali di qualunque matrimonio."
9,"Archeology is the search for fact... not truth. If it's truth you're interested in, Dr. Tyree's philosophy class is right down the hall.","Археология - это поиски фактов... а не истины. Если вас интересует истина, кафедра философии чуть дальше.","L'archeologia ricerca i fatti... non la verità. Se siete interessati alla verità, il corso di filosofia si tiene in fondo al corridoio."
10,"All right, fire them up! We go live in five! It's time for ignition and straight automobile pimping.","Ладно, завести моторы! Старт через пять минут! Кончайте наводить блеск, надо ехать.","Forza, accendete i motori amici! Cinque minuti e andiamo in diretta! Dategli l'ultima lucidata e preparatevi al decollo."
11,All I ever wanted in my sorry-ass life was a single thing worth fighting for.,"Всю свою никчемную жизнь я искал хоть что-то, за что стоит бороться.","Nella mia misera vita, volevo solo qualcosa per cui valesse la pena lottare."
12,I will not kill you. It is the way! And it is good. I will be remembered. I fought with Toruk Macto! And we were brothers. And he was my last shadow.,Я не буду убивать тебя. Таков путь! И это хорошо. Меня запомнят. Я сражался с Торук Макто! И мы были братьями. И он был моей последней тенью.,Non ti ucciderò. È così che si fa! Ed è bene. Sarò ricordato. Ho combattuto con Toruk Macto! Ed eravamo fratelli. Lui è stato la mia ultima ombra.
13,"Everyone knows you're with the Stasi! Spy, betrayer! If you don't take a stand, you're not human! If you ever want to take action, call. If not, we don't have to meet again.","Все знают - ты работал на Штази, ты, тряпка! Стукачи, предатели и конформисты. Когда-то ты должен наконец решить, с кем ты, иначе ты - не человек. Если ты решишься на что-то - позвони. Иначе нам лучше не видеться.","Sei un informatore della Stasi. Spie, approfittatori, vermi! Prima o poi dovrai prendere una posizione! Se vorrai tentare qualcosa, chiamami, altrimenti smettiamo di vederci."
14,"I was too weak. I can never put right what I've done wrong. There's nothing to put right! You understand? Nothing. I moved the ty... Forgive me, forgive me...","Я была слишком слаба. Я не могу исправить то, что натворила. Нечего исправлять! Понимаешь? Ничего. Я убрала маш... Прости меня, прости меня...","Sono stata debole, non potrò rimediare a quel che gli ho fatto. Non preoccuparti, ho tolto io la macchina. Perdonami, Christa! Perdonami! Perdonami!"
15,"Well, Newton discovered binomial theorem aged 22. Einstein wrote four papers that changed the world by the age of 26. As far as I can tell, I've... I've barely made par.","Ньютон вывел формулу бинома в 22. К двадцати шести за плечами Эйнштейна было четыре работы, которые изменили мир. Насколько я могу судить, я... едва ли даже дышу им в спину.","Newton ha scoperto il teorema binomiale a 22 anni. Einstein scrisse 4 articoli che cambiarono il mondo prima di compiere 26 anni. E da come la vedo io, sono... solo nella media."
16,"But you know, Alan, sometimes it's the very people who no one imagines anything of who do the things no one can imagine.","Но сами знаете, Алан, порой именно те, от кого никто ничего не ждёт, совершают то, что никто не может себе представить.","Ma sai una cosa, Alan? A volte sono proprio le persone che nessuno immagina che possano fare certe cose quelle che fanno cose che nessuno immagina."
17,But you don't ask with respect. You don't offer friendship. You don't even think to call me Godfather. You come on my daughter's wedding day and ask me to murder for money.,"Но ты просишь без уважения. Ты не предлагаешь дружбу. Ты даже не называешь меня Крестный отец. А вместо этого, ты приходишь ко мне в дом... в день свадьбы моей дочери... и просишь совершить заказное убийство.","Però non lo domandi con rispetto. Non offri amicizia. Non ti sogni nemmeno di chiamarmi Padrino. Ti presenti a casa mia il giorno che si marita mia figlia e mi chiedi un omicidio, a pagamento."
18,"If you'd come in friendship, the scum that ruined your daughter would be suffering this very day. And if an honest man like you should make enemies, they'd be my enemies. And then they would fear you.","Если бы ты пришел ко мне с дружбой... негодяи, причинившие зло твоей дочери... уже сегодня бы получили по заслугам. А если случайно... у такого честного человека как ты появились бы враги... они стали бы моими врагами.","Se venivi da me in amicizia, quei bastardi che hanno sfigurato tua figlia avrebbero la loro punizione oggi stesso. E, se per questo dovessi farti dei nemici, quelli diventerebbero nemici miei."
19,I'm going to make him an offer he can't refuse.,"Я сделаю ему предложение, от которого он не сможет отказаться.",Gli farò un'offerta che non può rifiutare.
20,"After 30 years behind this bar, I'm an expert. I can even give you the recipe. Take two regulars. Let each think the other fancies them. Leave it to simmer. It never fails.","Я уже 30 лет за стойкой, и уж поверьте, кое-что об этом знаю. Могу даже дать Вам рецепт. Взять, к примеру, двух клиентов. Внушить им, что они - пара. Подбавить огня - и они готовы!","Dopo 30 anni passati dietro ad un bancone, posso dire che sono un'esperta. Le posso dare la ricetta. Prende due clienti, fa loro credere che si piacciono. Li fa cuocere a fuoco lento... Funziona sempre."
21,"I said, I know and admire your wonderful work.",Я знакoм с вашими чудесными прoизведениями и вoсхищен ими.,Ho detto che conosco e ammiro il suo meraviglioso lavoro.
22,I fear this may be the last time we ever see each other.,"Я бoюсь, чтo мы видимся в пoследний раз.",Che non ci rivedremo mai più.
23,"For goodness sake, there's no reason for you to leave us if you'd... Come with me.","Бoг мoй, вам ни к чему нас пoкидать, если вы... Пoезжайте сo мнoй.","Per l'amor del cielo, non c'è motivo che tu ci lasci se... Vieni con me."
24,I've always hated this carpet. It's stained and frayed in such distinctive ways. But very definitely made of wool. Right... so I'm not on the carpet in my apartment. Which means I'm not in my apartment.,"Мне всегда был противен это ковёр. Он как-то по-особому линял и пачкался. Но он был сделан из шерсти. А сейчас... я лежу на синтетике. Значит, я не на ковре в своей квартире. Значит, я не в своей квартире.",Ho sempre odiato questo tappeto. Si macchia e si sbiadisce in modo cosi' particolare. E' di lana. Quindi... non sono sul tappeto nel mio appartamento. Il che significa che non sono nel mio appartamento.
25,"Resilient. Highly contagious. Once an idea has taken hold of the brain, it's almost impossible to eradicate.","Неотступна. Крайне заразна. Идею, которая засела в голове, искоренить почти невозможно. Идея, завершённая и полностью осознанная, вцепится намертво.","Adattabile. Altamente contagiosa. Una volta che l'idea si e' insediata nel cervello, e' quasi impossibile da sradicare."